Name,Category,RaceName,Event,Location,Rank,Date,ResultUrl
Chiara Luana Kaifer,Mädchen U12,Living Circle-CUP 2025,SL,Hoch Ybrig,50,2025-02-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Chiara Luana Kaifer,Mädchen U12,Living Circle-CUP 2025,RS,Hoch Ybrig,80,2025-02-16,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Chiara Luana Kaifer,Mädchen U12,Living Circle-CUP 2025,DH,Hoch-Ybrig,80,2025-03-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Chiara Luana Kaifer,Mädchen U12,Living Circle-CUP 2025,SL1,Hoch Ybrig,45,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Chiara Luana Kaifer,Mädchen U12,Living Circle-CUP 2025,SL2,Hoch Ybrig,60,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,CR1,Hoch-Ybrig,80,2024-12-21,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,CR2,Hoch-Ybrig,100,2024-12-21,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,RS,Obersaxen,60,2025-01-11,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,SL,Obersaxen,100,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,RS1,Hoch Ybrig,80,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,SL1,Wildhaus,100,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,SL2,Wildhaus,100,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,CR,Atzmännig,60,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,SG1,Stoos,80,2025-02-09,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,SG2,Stoos,60,2025-02-09,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,SL,Hoch Ybrig,80,2025-02-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,RS,Hoch Ybrig,60,2025-02-16,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,RS1,Hoch Ybrig,50,2025-02-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,RS2,Hoch Ybrig,60,2025-02-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,DH,Hoch-Ybrig,60,2025-03-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,SL1,Hoch Ybrig,60,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,SL2,Hoch Ybrig,100,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Melicia Baumgartner,Mädchen U14,Living Circle-CUP 2025,Final,Hoch-Ybrig,160,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Anna Seiler,Mädchen U14,Living Circle-CUP 2025,RS,Hoch-Ybrig,30,2024-12-31,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Anna Seiler,Mädchen U14,Living Circle-CUP 2025,RS1,Hoch Ybrig,18,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Anna Seiler,Mädchen U14,Living Circle-CUP 2025,RS2,Hoch Ybrig,30,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Anna Seiler,Mädchen U14,Living Circle-CUP 2025,SL1,Wildhaus,45,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Anna Seiler,Mädchen U14,Living Circle-CUP 2025,SL2,Wildhaus,45,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Anna Seiler,Mädchen U14,Living Circle-CUP 2025,CR,Atzmännig,14,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Anna Seiler,Mädchen U14,Living Circle-CUP 2025,SL,Hoch Ybrig,22,2025-02-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Anna Seiler,Mädchen U14,Living Circle-CUP 2025,DH,Hoch-Ybrig,30,2025-03-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Emma Artho,Mädchen U14,Living Circle-CUP 2025,RS,Obersaxen,14,2025-01-11,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Emma Artho,Mädchen U14,Living Circle-CUP 2025,SL,Obersaxen,30,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Emma Artho,Mädchen U14,Living Circle-CUP 2025,SL1,Wildhaus,26,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Emma Artho,Mädchen U14,Living Circle-CUP 2025,SL2,Wildhaus,22,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,CR1,Hoch-Ybrig,100,2024-12-21,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,CR2,Hoch-Ybrig,45,2024-12-21,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,RS,Hoch-Ybrig,50,2024-12-31,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,RS,Obersaxen,60,2025-01-11,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,SL,Obersaxen,80,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,RS2,Hoch Ybrig,100,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,SL1,Wildhaus,50,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,CR,Atzmännig,80,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,SG1,Stoos,45,2025-02-09,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,SG2,Stoos,50,2025-02-09,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,SL,Hoch Ybrig,50,2025-02-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,RS,Hoch Ybrig,80,2025-02-16,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,RS1,Hoch Ybrig,100,2025-02-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,DH,Hoch-Ybrig,45,2025-03-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Aliyah Roshardt,Mädchen U16,Living Circle-CUP 2025,Final,Hoch-Ybrig,200,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,CR1,Hoch-Ybrig,50,2024-12-21,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,CR2,Hoch-Ybrig,60,2024-12-21,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,RS,Hoch-Ybrig,60,2024-12-31,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,RS,Obersaxen,60,2025-01-11,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,SL,Obersaxen,80,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,RS1,Hoch Ybrig,60,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,RS2,Hoch Ybrig,100,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,SL1,Wildhaus,100,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,SL2,Wildhaus,50,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,CR,Atzmännig,100,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,SL,Hoch Ybrig,40,2025-02-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,RS,Hoch Ybrig,30,2025-02-16,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,RS1,Hoch Ybrig,50,2025-02-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,RS2,Hoch Ybrig,30,2025-02-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,DH,Hoch-Ybrig,60,2025-03-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,SL1,Hoch Ybrig,80,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Mael Börlin,Knaben U12,Living Circle-CUP 2025,Final,Hoch-Ybrig,200,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Liam Rossi,Knaben U12,Living Circle-CUP 2025,RS,Obersaxen,40,2025-01-11,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Liam Rossi,Knaben U12,Living Circle-CUP 2025,SL,Obersaxen,45,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Liam Rossi,Knaben U12,Living Circle-CUP 2025,RS1,Hoch Ybrig,30,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Liam Rossi,Knaben U12,Living Circle-CUP 2025,RS2,Hoch Ybrig,18,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Liam Rossi,Knaben U12,Living Circle-CUP 2025,SL1,Wildhaus,50,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Liam Rossi,Knaben U12,Living Circle-CUP 2025,SL2,Wildhaus,50,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Pascal Hensch,Knaben U14,Living Circle-CUP 2025,CR1,Hoch-Ybrig,40,2024-12-21,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Pascal Hensch,Knaben U14,Living Circle-CUP 2025,CR2,Hoch-Ybrig,35,2024-12-21,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Pascal Hensch,Knaben U14,Living Circle-CUP 2025,RS,Hoch-Ybrig,10,2024-12-31,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Pascal Hensch,Knaben U14,Living Circle-CUP 2025,RS1,Hoch Ybrig,26,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Pascal Hensch,Knaben U14,Living Circle-CUP 2025,CR,Atzmännig,60,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Pascal Hensch,Knaben U14,Living Circle-CUP 2025,SG1,Stoos,50,2025-02-09,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Pascal Hensch,Knaben U14,Living Circle-CUP 2025,RS,Hoch Ybrig,40,2025-02-16,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Pascal Hensch,Knaben U14,Living Circle-CUP 2025,RS1,Hoch Ybrig,26,2025-02-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Ramon Fuhrer,Knaben U14,Living Circle-CUP 2025,RS,Hoch Ybrig,2,2025-02-16,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,CR1,Hoch-Ybrig,40,2024-12-21,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,RS,Hoch-Ybrig,45,2024-12-31,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,SL,Obersaxen,40,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,RS1,Hoch Ybrig,50,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,RS2,Hoch Ybrig,100,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,CR,Atzmännig,45,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,SG1,Stoos,60,2025-02-09,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,SG2,Stoos,50,2025-02-09,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,SL,Hoch Ybrig,40,2025-02-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,RS,Hoch Ybrig,45,2025-02-16,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,DH,Hoch-Ybrig,40,2025-03-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,SL1,Hoch Ybrig,35,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Finn Simmerle,Knaben U16,Living Circle-CUP 2025,Final,Hoch-Ybrig,70,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,RS,Hoch-Ybrig,35,2024-12-31,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,RS1,Hoch Ybrig,40,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,RS2,Hoch Ybrig,40,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,SL1,Wildhaus,45,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,SL2,Wildhaus,40,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,CR,Atzmännig,35,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,SG1,Stoos,60,2025-02-09,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,RS,Hoch Ybrig,60,2025-02-16,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,RS1,Hoch Ybrig,50,2025-02-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,SL1,Hoch Ybrig,26,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,SL2,Hoch Ybrig,26,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Justin Janssen,Knaben U16,Living Circle-CUP 2025,Final,Hoch-Ybrig,100,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Louis Seiler,Knaben U16,Living Circle-CUP 2025,RS,Obersaxen,80,2025-01-11,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Louis Seiler,Knaben U16,Living Circle-CUP 2025,RS1,Hoch Ybrig,80,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Louis Seiler,Knaben U16,Living Circle-CUP 2025,RS2,Hoch Ybrig,45,2025-01-19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Louis Seiler,Knaben U16,Living Circle-CUP 2025,SG1,Stoos,45,2025-02-09,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Louis Seiler,Knaben U16,Living Circle-CUP 2025,SG2,Stoos,30,2025-02-09,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Louis Seiler,Knaben U16,Living Circle-CUP 2025,DH,Hoch-Ybrig,30,2025-03-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Louis Seiler,Knaben U16,Living Circle-CUP 2025,SL1,Hoch Ybrig,35,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
Luis Leihener,Junioren U18/U21,Living Circle-CUP 2025,RS,Hoch-Ybrig,26,2024-12-31,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1401.pdf
